Nettselskap,Kapasitetsledd,Kapasitetsledd fra kW,Kapasitetsledd til kW,Grunnlag effektrinn
AGDER ENERGI NETT AS,245,0,2,Topp 3 forbrukstopper innenfor 1 siste måneder
AGDER ENERGI NETT AS,315,2,5,Topp 3 forbrukstopper innenfor 1 siste måneder
AGDER ENERGI NETT AS,440,5,10,Topp 3 forbrukstopper innenfor 1 siste måneder
AGDER ENERGI NETT AS,815,10,15,Topp 3 forbrukstopper innenfor 1 siste måneder
AGDER ENERGI NETT AS,1500,15,20,Topp 3 forbrukstopper innenfor 1 siste måneder
AGDER ENERGI NETT AS,2187.5,20,25,Topp 3 forbrukstopper innenfor 1 siste måneder
AGDER ENERGI NETT AS,3000,25,50,Topp 3 forbrukstopper innenfor 1 siste måneder
AGDER ENERGI NETT AS,4000,50,75,Topp 3 forbrukstopper innenfor 1 siste måneder
AGDER ENERGI NETT AS,5500,75,100,Topp 3 forbrukstopper innenfor 1 siste måneder
AGDER ENERGI NETT AS,7500,100,10000,Topp 3 forbrukstopper innenfor 1 siste måneder
ENIDA AS,276.04,0,40,Sikringsstørrelse
ENIDA AS,833.33,40,999,Sikringsstørrelse
TINFOS AS,262.5,0,5,Topp 3 forbrukstopper innenfor 1 siste måneder
TINFOS AS,412.5,5,10,Topp 3 forbrukstopper innenfor 1 siste måneder
TINFOS AS,562.5,10,15,Topp 3 forbrukstopper innenfor 1 siste måneder
TINFOS AS,712.5,15,20,Topp 3 forbrukstopper innenfor 1 siste måneder
TINFOS AS,862.5,20,25,Topp 3 forbrukstopper innenfor 1 siste måneder
TINFOS AS,1312.5,25,50,Topp 3 forbrukstopper innenfor 1 siste måneder
TINFOS AS,3750,50,500,Topp 3 forbrukstopper innenfor 1 siste måneder
ELVIA AS,125,0,2,Topp 3 forbrukstopper innenfor 1 siste måneder
ELVIA AS,200,2,5,Topp 3 forbrukstopper innenfor 1 siste måneder
ELVIA AS,325,5,10,Topp 3 forbrukstopper innenfor 1 siste måneder
ELVIA AS,450,10,15,Topp 3 forbrukstopper innenfor 1 siste måneder
ELVIA AS,575,15,20,Topp 3 forbrukstopper innenfor 1 siste måneder
ELVIA AS,700,20,25,Topp 3 forbrukstopper innenfor 1 siste måneder
ELVIA AS,1325,25,50,Topp 3 forbrukstopper innenfor 1 siste måneder
ELVIA AS,1950,50,75,Topp 3 forbrukstopper innenfor 1 siste måneder
ELVIA AS,2575,75,100,Topp 3 forbrukstopper innenfor 1 siste måneder
ELVIA AS,5150,100,1000,Topp 3 forbrukstopper innenfor 1 siste måneder
ETNA NETT AS,534.37,0,25,Sikringsstørrelse
FJELLNETT AS,207,0,1,Topp 5 forbrukstopper innenfor 12 siste måneder
FJELLNETT AS,236.91,1,2,Topp 5 forbrukstopper innenfor 12 siste måneder
FJELLNETT AS,266.83,2,3,Topp 5 forbrukstopper innenfor 12 siste måneder
FJELLNETT AS,296.75,3,4,Topp 5 forbrukstopper innenfor 12 siste måneder
FJELLNETT AS,326.66,4,5,Topp 5 forbrukstopper innenfor 12 siste måneder
FJELLNETT AS,356.58,5,6,Topp 5 forbrukstopper innenfor 12 siste måneder
FJELLNETT AS,386.5,6,7,Topp 5 forbrukstopper innenfor 12 siste måneder
FJELLNETT AS,416.41,7,8,Topp 5 forbrukstopper innenfor 12 siste måneder
FJELLNETT AS,446.33,8,9,Topp 5 forbrukstopper innenfor 12 siste måneder
FJELLNETT AS,476.25,9,10,Topp 5 forbrukstopper innenfor 12 siste måneder
FJELLNETT AS,506.16,10,11,Topp 5 forbrukstopper innenfor 12 siste måneder
FJELLNETT AS,536.08,11,12,Topp 5 forbrukstopper innenfor 12 siste måneder
FJELLNETT AS,566,12,13,Topp 5 forbrukstopper innenfor 12 siste måneder
FJELLNETT AS,595.91,13,14,Topp 5 forbrukstopper innenfor 12 siste måneder
FJELLNETT AS,625.83,14,15,Topp 5 forbrukstopper innenfor 12 siste måneder
FJELLNETT AS,655.75,15,16,Topp 5 forbrukstopper innenfor 12 siste måneder
FJELLNETT AS,685.66,16,17,Topp 5 forbrukstopper innenfor 12 siste måneder
FJELLNETT AS,715.58,17,18,Topp 5 forbrukstopper innenfor 12 siste måneder
FJELLNETT AS,745.5,18,19,Topp 5 forbrukstopper innenfor 12 siste måneder
FJELLNETT AS,775.41,19,20,Topp 5 forbrukstopper innenfor 12 siste måneder
FJELLNETT AS,805.33,20,21,Topp 5 forbrukstopper innenfor 12 siste måneder
FJELLNETT AS,835.25,21,22,Topp 5 forbrukstopper innenfor 12 siste måneder
FJELLNETT AS,865.16,22,23,Topp 5 forbrukstopper innenfor 12 siste måneder
FJELLNETT AS,895.08,23,24,Topp 5 forbrukstopper innenfor 12 siste måneder
FJELLNETT AS,925,24,25,Topp 5 forbrukstopper innenfor 12 siste måneder
FJELLNETT AS,954.91,25,26,Topp 5 forbrukstopper innenfor 12 siste måneder
FJELLNETT AS,984.83,26,27,Topp 5 forbrukstopper innenfor 12 siste måneder
FJELLNETT AS,1014.75,27,28,Topp 5 forbrukstopper innenfor 12 siste måneder
FJELLNETT AS,1044.66,28,29,Topp 5 forbrukstopper innenfor 12 siste måneder
FJELLNETT AS,1074.58,29,30,Topp 5 forbrukstopper innenfor 12 siste måneder
GLITRE ENERGI NETT AS,150,0,2,Topp 3 forbrukstopper innenfor 1 siste måneder
GLITRE ENERGI NETT AS,250,2,5,Topp 3 forbrukstopper innenfor 1 siste måneder
GLITRE ENERGI NETT AS,410,5,10,Topp 3 forbrukstopper innenfor 1 siste måneder
GLITRE ENERGI NETT AS,735,10,15,Topp 3 forbrukstopper innenfor 1 siste måneder
GLITRE ENERGI NETT AS,975,15,20,Topp 3 forbrukstopper innenfor 1 siste måneder
GLITRE ENERGI NETT AS,1210,20,25,Topp 3 forbrukstopper innenfor 1 siste måneder
GLITRE ENERGI NETT AS,1875,25,50,Topp 3 forbrukstopper innenfor 1 siste måneder
GLITRE ENERGI NETT AS,2935,50,75,Topp 3 forbrukstopper innenfor 1 siste måneder
GLITRE ENERGI NETT AS,3995,75,100,Topp 3 forbrukstopper innenfor 1 siste måneder
GLITRE ENERGI NETT AS,6475,100,10000,Topp 3 forbrukstopper innenfor 1 siste måneder
GRIUG AS,369.58,0,10000,Sikringsstørrelse
KLIVE AS,433.75,0,5,Topp 3 forbrukstopper innenfor 1 siste måneder
KLIVE AS,538.75,5,10,Topp 3 forbrukstopper innenfor 1 siste måneder
KLIVE AS,715,10,15,Topp 3 forbrukstopper innenfor 1 siste måneder
KLIVE AS,953.75,15,20,Topp 3 forbrukstopper innenfor 1 siste måneder
KLIVE AS,1192.5,20,25,Topp 3 forbrukstopper innenfor 1 siste måneder
KLIVE AS,2383.75,25,50,Topp 3 forbrukstopper innenfor 1 siste måneder
KLIVE AS,3576.25,50,75,Topp 3 forbrukstopper innenfor 1 siste måneder
KLIVE AS,4768.75,75,100,Topp 3 forbrukstopper innenfor 1 siste måneder
KLIVE AS,7152.5,100,150,Topp 3 forbrukstopper innenfor 1 siste måneder
KLIVE AS,9536.25,150,200,Topp 3 forbrukstopper innenfor 1 siste måneder
KLIVE AS,14305,200,300,Topp 3 forbrukstopper innenfor 1 siste måneder
KLIVE AS,23841.25,300,500,Topp 3 forbrukstopper innenfor 1 siste måneder
KLIVE AS,33377.5,500,5000,Topp 3 forbrukstopper innenfor 1 siste måneder
RØROS E-VERK NETT AS,295,0,5,Topp 3 forbrukstopper innenfor 1 siste måneder
RØROS E-VERK NETT AS,430,5,10,Topp 3 forbrukstopper innenfor 1 siste måneder
RØROS E-VERK NETT AS,640,10,15,Topp 3 forbrukstopper innenfor 1 siste måneder
RØROS E-VERK NETT AS,920,15,20,Topp 3 forbrukstopper innenfor 1 siste måneder
RØROS E-VERK NETT AS,1406.25,20,25,Topp 3 forbrukstopper innenfor 1 siste måneder
RØROS E-VERK NETT AS,2300,25,50,Topp 3 forbrukstopper innenfor 1 siste måneder
RØROS E-VERK NETT AS,4400,50,100,Topp 3 forbrukstopper innenfor 1 siste måneder
RØROS E-VERK NETT AS,7700,100,200,Topp 3 forbrukstopper innenfor 1 siste måneder
RØROS E-VERK NETT AS,14962.5,200,3000,Topp 3 forbrukstopper innenfor 1 siste måneder
SKIAKERNETT AS,32.29,0,5,Topp 1 forbrukstopper
SKIAKERNETT AS,45.31,5.1,10,Topp 1 forbrukstopper
SKIAKERNETT AS,57.81,10.1,15,Topp 1 forbrukstopper
SKIAKERNETT AS,69.79,15.1,20,Topp 1 forbrukstopper
SKIAKERNETT AS,81.25,20.1,25,Topp 1 forbrukstopper
SKIAKERNETT AS,92.18,25.1,30,Topp 1 forbrukstopper
SKIAKERNETT AS,102.6,30.1,9999,Topp 1 forbrukstopper
STANGE ENERGI NETT AS,156.25,0,2,Topp 3 forbrukstopper innenfor 1 siste måneder
STANGE ENERGI NETT AS,250,2,5,Topp 3 forbrukstopper innenfor 1 siste måneder
STANGE ENERGI NETT AS,406.25,5,10,Topp 3 forbrukstopper innenfor 1 siste måneder
STANGE ENERGI NETT AS,562.5,10,15,Topp 3 forbrukstopper innenfor 1 siste måneder
STANGE ENERGI NETT AS,718.75,15,20,Topp 3 forbrukstopper innenfor 1 siste måneder
STANGE ENERGI NETT AS,875,20,25,Topp 3 forbrukstopper innenfor 1 siste måneder
STANGE ENERGI NETT AS,1656.25,25,50,Topp 3 forbrukstopper innenfor 1 siste måneder
STANGE ENERGI NETT AS,2437.5,50,75,Topp 3 forbrukstopper innenfor 1 siste måneder
STANGE ENERGI NETT AS,3218.75,75,100,Topp 3 forbrukstopper innenfor 1 siste måneder
STANGE ENERGI NETT AS,6437.5,100,500,Topp 3 forbrukstopper innenfor 1 siste måneder
SYGNIR AS,259.27,0,1,Topp 1 forbrukstopper
SYGNIR AS,311.04,1,2,Topp 1 forbrukstopper
SYGNIR AS,362.91,2,3,Topp 1 forbrukstopper
SYGNIR AS,414.79,3,4,Topp 1 forbrukstopper
SYGNIR AS,466.56,4,5,Topp 1 forbrukstopper
SYGNIR AS,544.37,5,6,Topp 1 forbrukstopper
SYGNIR AS,622.18,6,7,Topp 1 forbrukstopper
SYGNIR AS,699.89,7,8,Topp 1 forbrukstopper
SYGNIR AS,777.7,8,9,Topp 1 forbrukstopper
SYGNIR AS,855.41,9,10,Topp 1 forbrukstopper
SYGNIR AS,1011.04,10,12,Topp 1 forbrukstopper
SYGNIR AS,1166.45,12,14,Topp 1 forbrukstopper
SYGNIR AS,1321.97,14,16,Topp 1 forbrukstopper
SYGNIR AS,1477.6,16,18,Topp 1 forbrukstopper
SYGNIR AS,1633.12,18,20,Topp 1 forbrukstopper
SYGNIR AS,2929.16,20,40,Topp 1 forbrukstopper
SYGNIR AS,4225.31,40,60,Topp 1 forbrukstopper
SYGNIR AS,5521.45,60,80,Topp 1 forbrukstopper
SYGNIR AS,6817.5,80,100,Topp 1 forbrukstopper
SYGNIR AS,12001.87,100,200,Topp 1 forbrukstopper
SYGNIR AS,17186.45,200,300,Topp 1 forbrukstopper
SYGNIR AS,22370.83,300,400,Topp 1 forbrukstopper
SYGNIR AS,27555.2,400,500,Topp 1 forbrukstopper
SYGNIR AS,32739.68,500,600,Topp 1 forbrukstopper
SYGNIR AS,37924.06,600,700,Topp 1 forbrukstopper
SYGNIR AS,43108.54,700,800,Topp 1 forbrukstopper
SYGNIR AS,48293.02,800,900,Topp 1 forbrukstopper
SYGNIR AS,53477.39,900,1000,Topp 1 forbrukstopper
SØR AURDAL ENERGI AS,562.5,0,5,Topp 1 forbrukstopper
SØR AURDAL ENERGI AS,650,5,8,Topp 1 forbrukstopper
SØR AURDAL ENERGI AS,775,8,15,Topp 1 forbrukstopper
SØR AURDAL ENERGI AS,900,15,30,Topp 1 forbrukstopper
SØR AURDAL ENERGI AS,1012.5,30,50,Topp 1 forbrukstopper
SØR AURDAL ENERGI AS,1375,50,10000,Topp 1 forbrukstopper
TENSIO TS AS,72.5,0,2,Topp 2 forbrukstopper innenfor 1 siste måneder
TENSIO TS AS,127.5,2,5,Topp 2 forbrukstopper innenfor 1 siste måneder
TENSIO TS AS,218.75,5,10,Topp 2 forbrukstopper innenfor 1 siste måneder
TENSIO TS AS,322.5,10,15,Topp 2 forbrukstopper innenfor 1 siste måneder
TENSIO TS AS,426.25,15,20,Topp 2 forbrukstopper innenfor 1 siste måneder
TENSIO TS AS,530,20,25,Topp 2 forbrukstopper innenfor 1 siste måneder
TENSIO TS AS,911.25,25,50,Topp 2 forbrukstopper innenfor 1 siste måneder
TENSIO TS AS,1430,50,75,Topp 2 forbrukstopper innenfor 1 siste måneder
TENSIO TS AS,1950,75,100,Topp 2 forbrukstopper innenfor 1 siste måneder
TENSIO TS AS,2816.25,100,150,Topp 2 forbrukstopper innenfor 1 siste måneder
TENSIO TS AS,3855,150,200,Topp 2 forbrukstopper innenfor 1 siste måneder
TENSIO TS AS,5586.25,200,300,Topp 2 forbrukstopper innenfor 1 siste måneder
TENSIO TS AS,7665,300,400,Topp 2 forbrukstopper innenfor 1 siste måneder
TENSIO TS AS,9742.5,400,500,Topp 2 forbrukstopper innenfor 1 siste måneder
TENSIO TS AS,11821.25,500,10000,Topp 2 forbrukstopper innenfor 1 siste måneder
VANG ENERGIVERK AS,333.33,0,10000,Sikringsstørrelse
VEVIG AS,235,0,2,Topp 3 forbrukstopper innenfor 1 siste måneder
VEVIG AS,306.25,2.01,5,Topp 3 forbrukstopper innenfor 1 siste måneder
VEVIG AS,425,5.01,10,Topp 3 forbrukstopper innenfor 1 siste måneder
VEVIG AS,543.75,10.01,15,Topp 3 forbrukstopper innenfor 1 siste måneder
VEVIG AS,662.5,15.01,20,Topp 3 forbrukstopper innenfor 1 siste måneder
VEVIG AS,781.25,20.01,25,Topp 3 forbrukstopper innenfor 1 siste måneder
VEVIG AS,900,25.01,30,Topp 3 forbrukstopper innenfor 1 siste måneder
ELINETT AS,170,0,2,Topp 3 forbrukstopper innenfor 1 siste måneder
ELINETT AS,212.5,2,5,Topp 3 forbrukstopper innenfor 1 siste måneder
ELINETT AS,255,5,10,Topp 3 forbrukstopper innenfor 1 siste måneder
ELINETT AS,425,10,15,Topp 3 forbrukstopper innenfor 1 siste måneder
ELINETT AS,510,15,20,Topp 3 forbrukstopper innenfor 1 siste måneder
ELINETT AS,595,20,25,Topp 3 forbrukstopper innenfor 1 siste måneder
ELINETT AS,850,25,50,Topp 3 forbrukstopper innenfor 1 siste måneder
ELINETT AS,935,50,75,Topp 3 forbrukstopper innenfor 1 siste måneder
ELINETT AS,1020,75,100,Topp 3 forbrukstopper innenfor 1 siste måneder
ELINETT AS,1275,100,99999,Topp 3 forbrukstopper innenfor 1 siste måneder
LINJA AS,192.5,0,2,Topp 3 forbrukstopper innenfor 1 siste måneder
LINJA AS,267.5,2,5,Topp 3 forbrukstopper innenfor 1 siste måneder
LINJA AS,342.5,5,10,Topp 3 forbrukstopper innenfor 1 siste måneder
LINJA AS,492.5,10,15,Topp 3 forbrukstopper innenfor 1 siste måneder
LINJA AS,592.5,15,20,Topp 3 forbrukstopper innenfor 1 siste måneder
LINJA AS,692.5,20,25,Topp 3 forbrukstopper innenfor 1 siste måneder
LINJA AS,880,25,50,Topp 3 forbrukstopper innenfor 1 siste måneder
LINJA AS,980,50,75,Topp 3 forbrukstopper innenfor 1 siste måneder
LINJA AS,1080,75,100,Topp 3 forbrukstopper innenfor 1 siste måneder
LINJA AS,1330,100,10000,Topp 3 forbrukstopper innenfor 1 siste måneder
MELLOM AS,186.04,0,2,Topp 3 forbrukstopper innenfor 1 siste måneder
MELLOM AS,278.95,2,5,Topp 3 forbrukstopper innenfor 1 siste måneder
MELLOM AS,418.95,5,10,Topp 3 forbrukstopper innenfor 1 siste måneder
MELLOM AS,558.95,10,15,Topp 3 forbrukstopper innenfor 1 siste måneder
MELLOM AS,708.02,15,20,Topp 3 forbrukstopper innenfor 1 siste måneder
MELLOM AS,885,20,25,Topp 3 forbrukstopper innenfor 1 siste måneder
MELLOM AS,1118.02,25,50,Topp 3 forbrukstopper innenfor 1 siste måneder
MELLOM AS,1491.04,50,500,Topp 3 forbrukstopper innenfor 1 siste måneder
MØRENETT AS,172.5,0,2,Topp 3 forbrukstopper innenfor 1 siste måneder
MØRENETT AS,216.25,2,5,Topp 3 forbrukstopper innenfor 1 siste måneder
MØRENETT AS,258.75,5,10,Topp 3 forbrukstopper innenfor 1 siste måneder
MØRENETT AS,431.25,10,15,Topp 3 forbrukstopper innenfor 1 siste måneder
MØRENETT AS,517.5,15,20,Topp 3 forbrukstopper innenfor 1 siste måneder
MØRENETT AS,603.75,20,25,Topp 3 forbrukstopper innenfor 1 siste måneder
MØRENETT AS,862.5,25,50,Topp 3 forbrukstopper innenfor 1 siste måneder
MØRENETT AS,948.75,50,75,Topp 3 forbrukstopper innenfor 1 siste måneder
MØRENETT AS,1035,75,100,Topp 3 forbrukstopper innenfor 1 siste måneder
MØRENETT AS,1293.75,100,100,Topp 3 forbrukstopper innenfor 1 siste måneder
NORDVEST NETT AS,106.25,0,2,Topp 3 forbrukstopper innenfor 1 siste måneder
NORDVEST NETT AS,258.75,2,5,Topp 3 forbrukstopper innenfor 1 siste måneder
NORDVEST NETT AS,322.5,5,10,Topp 3 forbrukstopper innenfor 1 siste måneder
NORDVEST NETT AS,481.25,10,15,Topp 3 forbrukstopper innenfor 1 siste måneder
NORDVEST NETT AS,576.25,15,20,Topp 3 forbrukstopper innenfor 1 siste måneder
NORDVEST NETT AS,671.25,20,25,Topp 3 forbrukstopper innenfor 1 siste måneder
NORDVEST NETT AS,1290,25,50,Topp 3 forbrukstopper innenfor 1 siste måneder
NORDVEST NETT AS,1908.75,50,75,Topp 3 forbrukstopper innenfor 1 siste måneder
NORDVEST NETT AS,2528.75,75,100,Topp 3 forbrukstopper innenfor 1 siste måneder
NORDVEST NETT AS,4971.25,100,500,Topp 3 forbrukstopper innenfor 1 siste måneder
ROMSDALSNETT AS,225,0,2,Topp 3 forbrukstopper innenfor 1 siste måneder
ROMSDALSNETT AS,287.5,2,5,Topp 3 forbrukstopper innenfor 1 siste måneder
ROMSDALSNETT AS,350,5,10,Topp 3 forbrukstopper innenfor 1 siste måneder
ROMSDALSNETT AS,562.5,10,15,Topp 3 forbrukstopper innenfor 1 siste måneder
ROMSDALSNETT AS,686.87,15,20,Topp 3 forbrukstopper innenfor 1 siste måneder
ROMSDALSNETT AS,812.5,20,25,Topp 3 forbrukstopper innenfor 1 siste måneder
ROMSDALSNETT AS,1137.5,25,50,Topp 3 forbrukstopper innenfor 1 siste måneder
ROMSDALSNETT AS,1250,50,75,Topp 3 forbrukstopper innenfor 1 siste måneder
ROMSDALSNETT AS,1375,75,100,Topp 3 forbrukstopper innenfor 1 siste måneder
ROMSDALSNETT AS,1750,100,9999999,Topp 3 forbrukstopper innenfor 1 siste måneder
S-NETT AS,236.25,0,2,Topp 3 forbrukstopper innenfor 1 siste måneder
S-NETT AS,327.39,2,5,Topp 3 forbrukstopper innenfor 1 siste måneder
S-NETT AS,473.22,5,10,Topp 3 forbrukstopper innenfor 1 siste måneder
S-NETT AS,655.52,10,15,Topp 3 forbrukstopper innenfor 1 siste måneder
S-NETT AS,837.91,15,20,Topp 3 forbrukstopper innenfor 1 siste måneder
S-NETT AS,1020.2,20,25,Topp 3 forbrukstopper innenfor 1 siste måneder
S-NETT AS,1567.08,25,50,Topp 3 forbrukstopper innenfor 1 siste måneder
S-NETT AS,2478.54,50,75,Topp 3 forbrukstopper innenfor 1 siste måneder
S-NETT AS,3390.1,75,100,Topp 3 forbrukstopper innenfor 1 siste måneder
S-NETT AS,4757.29,100,150,Topp 3 forbrukstopper innenfor 1 siste måneder
S-NETT AS,6580.31,150,200,Topp 3 forbrukstopper innenfor 1 siste måneder
S-NETT AS,9314.79,200,300,Topp 3 forbrukstopper innenfor 1 siste måneder
SANDØY NETT AS,145,0,2,Topp 3 forbrukstopper innenfor 1 siste måneder
SANDØY NETT AS,318.75,2,5,Topp 3 forbrukstopper innenfor 1 siste måneder
SANDØY NETT AS,406.25,5,10,Topp 3 forbrukstopper innenfor 1 siste måneder
SANDØY NETT AS,601.25,10,15,Topp 3 forbrukstopper innenfor 1 siste måneder
SANDØY NETT AS,746.25,15,20,Topp 3 forbrukstopper innenfor 1 siste måneder
SANDØY NETT AS,891.25,20,25,Topp 3 forbrukstopper innenfor 1 siste måneder
SANDØY NETT AS,1261.25,25,50,Topp 3 forbrukstopper innenfor 1 siste måneder
SANDØY NETT AS,1406.25,50,75,Topp 3 forbrukstopper innenfor 1 siste måneder
SANDØY NETT AS,1551.25,75,100,Topp 3 forbrukstopper innenfor 1 siste måneder
SANDØY NETT AS,2087.5,100,999,Topp 3 forbrukstopper innenfor 1 siste måneder
STRAUMEN NETT AS,250,0,5,Topp 3 forbrukstopper innenfor 1 siste måneder
STRAUMEN NETT AS,287.5,5,10,Topp 3 forbrukstopper innenfor 1 siste måneder
STRAUMEN NETT AS,325,10,15,Topp 3 forbrukstopper innenfor 1 siste måneder
STRAUMEN NETT AS,362.5,15,20,Topp 3 forbrukstopper innenfor 1 siste måneder
STRAUMEN NETT AS,400,20,25,Topp 3 forbrukstopper innenfor 1 siste måneder
STRAUMEN NETT AS,437.5,25,999,Topp 3 forbrukstopper innenfor 1 siste måneder
SUNETT AS,342.91,1,999,Sikringsstørrelse
TINDRA NETT AS,230,0,2,Topp 3 forbrukstopper innenfor 1 siste måneder
TINDRA NETT AS,276.25,2,5,Topp 3 forbrukstopper innenfor 1 siste måneder
TINDRA NETT AS,300,5,10,Topp 3 forbrukstopper innenfor 1 siste måneder
TINDRA NETT AS,368.75,10,15,Topp 3 forbrukstopper innenfor 1 siste måneder
