area,date,price
NO1,2021-11-01,0.851175
NO2,2021-11-01,0.851175
NO3,2021-11-01,0.1595125
NO4,2021-11-01,0.13332
NO5,2021-11-01,0.851175
NO1,2021-11-02,1.092
NO2,2021-11-02,1.095625
NO3,2021-11-02,0.148125
NO4,2021-11-02,0.11872
NO5,2021-11-02,1.092
NO1,2021-11-03,1.1905875
NO2,2021-11-03,1.1905875
NO3,2021-11-03,0.242475
NO4,2021-11-03,0.16249
NO5,2021-11-03,1.1905875
NO1,2021-11-04,1.3064
NO2,2021-11-04,1.3064
NO3,2021-11-04,0.3076375
NO4,2021-11-04,0.24611
NO5,2021-11-04,1.3064
NO1,2021-11-05,1.0976625
NO2,2021-11-05,1.0976625
NO3,2021-11-05,0.20205
NO4,2021-11-05,0.16164
NO5,2021-11-05,1.0976625
NO1,2021-11-06,0.969975
NO2,2021-11-06,0.969975
NO3,2021-11-06,0.1132125
NO4,2021-11-06,0.09057
NO5,2021-11-06,0.969975
NO1,2021-11-07,0.8611875
NO2,2021-11-07,0.8611875
NO3,2021-11-07,0.14595
NO4,2021-11-07,0.11676
NO5,2021-11-07,0.910925
NO1,2021-11-08,1.5224125
NO2,2021-11-08,1.5224125
NO3,2021-11-08,0.2631375
NO4,2021-11-08,0.21051
NO5,2021-11-08,1.5224125
NO1,2021-11-09,1.0360125
NO2,2021-11-09,1.0360125
NO3,2021-11-09,0.162425
NO4,2021-11-09,0.12994
NO5,2021-11-09,1.0360125
NO1,2021-11-10,1.0944875
NO2,2021-11-10,1.0944875
NO3,2021-11-10,0.11615
NO4,2021-11-10,0.09292
NO5,2021-11-10,1.0944875
NO1,2021-11-11,1.1124375
NO2,2021-11-11,1.1124375
NO3,2021-11-11,0.1282
NO4,2021-11-11,0.10256
NO5,2021-11-11,1.1124375
NO1,2021-11-12,1.1508125
NO2,2021-11-12,1.1508125
NO3,2021-11-12,0.1778625
NO4,2021-11-12,0.14229
NO5,2021-11-12,1.1508125
NO1,2021-11-13,1.1406125
NO2,2021-11-13,1.1406125
NO3,2021-11-13,0.202625
NO4,2021-11-13,0.1621
NO5,2021-11-13,1.1406125
NO1,2021-11-14,1.2121875
NO2,2021-11-14,1.2121875
NO3,2021-11-14,0.2103375
NO4,2021-11-14,0.16827
NO5,2021-11-14,1.2121875
NO1,2021-11-15,1.2096875
NO2,2021-11-15,1.2096875
NO3,2021-11-15,0.17385
NO4,2021-11-15,0.13908
NO5,2021-11-15,1.2096875
NO1,2021-11-16,1.197825
NO2,2021-11-16,1.197825
NO3,2021-11-16,0.1783375
NO4,2021-11-16,0.14267
NO5,2021-11-16,1.197825
NO1,2021-11-17,1.116425
NO2,2021-11-17,1.116425
NO3,2021-11-17,0.1776625
NO4,2021-11-17,0.14213
NO5,2021-11-17,1.116425
NO1,2021-11-18,1.1136625
NO2,2021-11-18,1.1136625
NO3,2021-11-18,0.1668625
NO4,2021-11-18,0.13349
NO5,2021-11-18,1.1136625
NO1,2021-11-19,1.038675
NO2,2021-11-19,1.038675
NO3,2021-11-19,0.15315
NO4,2021-11-19,0.12252
NO5,2021-11-19,1.038675
NO1,2021-11-20,1.1173625
NO2,2021-11-20,1.1173625
NO3,2021-11-20,0.148975
NO4,2021-11-20,0.11918
NO5,2021-11-20,1.1173625
NO1,2021-11-21,1.16555
NO2,2021-11-21,1.16555
NO3,2021-11-21,0.1920125
NO4,2021-11-21,0.15361
NO5,2021-11-21,1.16555
NO1,2021-11-22,1.5464625
NO2,2021-11-22,1.5464625
NO3,2021-11-22,0.19255
NO4,2021-11-22,0.17345
NO5,2021-11-22,1.5464625
NO1,2021-11-23,1.3822
NO2,2021-11-23,1.3822
NO3,2021-11-23,0.1849375
NO4,2021-11-23,0.14876
NO5,2021-11-23,1.3822
NO1,2021-11-24,1.367275
NO2,2021-11-24,1.367275
NO3,2021-11-24,0.2927375
NO4,2021-11-24,0.23419
NO5,2021-11-24,1.367275
NO1,2021-11-25,1.4027
NO2,2021-11-25,1.4027
NO3,2021-11-25,0.5150375
NO4,2021-11-25,0.41203
NO5,2021-11-25,1.4027
NO1,2021-11-26,1.4630375
NO2,2021-11-26,1.4630375
NO3,2021-11-26,1.4455875
NO4,2021-11-26,1.15647
NO5,2021-11-26,1.4630375
NO1,2021-11-27,1.849125
NO2,2021-11-27,1.849125
NO3,2021-11-27,2.1306375
NO4,2021-11-27,1.70451
NO5,2021-11-27,1.849125
NO1,2021-11-28,2.346975
NO2,2021-11-28,2.346975
NO3,2021-11-28,2.408075
NO4,2021-11-28,1.92646
NO5,2021-11-28,2.346975
NO1,2021-11-29,3.198325
NO2,2021-11-29,3.198325
NO3,2021-11-29,2.817825
NO4,2021-11-29,2.25426
NO5,2021-11-29,3.198325
NO1,2021-11-30,1.7198875
NO2,2021-11-30,1.7178625
NO3,2021-11-30,1.8857625
NO4,2021-11-30,1.50861
NO5,2021-11-30,1.7198875
NO1,2021-12-01,1.516425
NO2,2021-12-01,1.49815
NO3,2021-12-01,1.4485
NO4,2021-12-01,1.1588
NO5,2021-12-01,1.516425
NO1,2021-12-02,2.3625125
NO2,2021-12-02,2.3625125
NO3,2021-12-02,1.88585
NO4,2021-12-02,1.50868
NO5,2021-12-02,2.3625125
NO1,2021-12-03,1.89255
NO2,2021-12-03,1.89255
NO3,2021-12-03,1.488825
NO4,2021-12-03,1.19106
NO5,2021-12-03,1.89255
NO1,2021-12-04,1.7100875
NO2,2021-12-04,1.7100875
NO3,2021-12-04,0.9044
NO4,2021-12-04,0.72352
NO5,2021-12-04,1.6935375
NO1,2021-12-05,1.6511125
NO2,2021-12-05,1.6511125
NO3,2021-12-05,1.496
NO4,2021-12-05,1.1968
NO5,2021-12-05,1.6511125
NO1,2021-12-06,2.14585
NO2,2021-12-06,2.14585
NO3,2021-12-06,1.536275
NO4,2021-12-06,1.22902
NO5,2021-12-06,2.14585
NO1,2021-12-07,2.202675
NO2,2021-12-07,2.202675
NO3,2021-12-07,1.4669125
NO4,2021-12-07,1.17353
NO5,2021-12-07,2.202675
NO1,2021-12-08,1.66215
NO2,2021-12-08,1.66215
NO3,2021-12-08,0.9237625
NO4,2021-12-08,0.73901
NO5,2021-12-08,1.66215
NO1,2021-12-09,1.659375
NO2,2021-12-09,1.659375
NO3,2021-12-09,0.5236375
NO4,2021-12-09,0.41891
NO5,2021-12-09,1.659375
NO1,2021-12-10,1.8895
NO2,2021-12-10,1.8895
NO3,2021-12-10,0.57055
NO4,2021-12-10,0.45644
NO5,2021-12-10,1.739875
NO1,2021-12-11,2.02825
NO2,2021-12-11,2.02825
NO3,2021-12-11,0.6269375
NO4,2021-12-11,0.50155
NO5,2021-12-11,2.02825
NO1,2021-12-12,1.6805125
NO2,2021-12-12,1.6805125
NO3,2021-12-12,0.55145
NO4,2021-12-12,0.44116
NO5,2021-12-12,1.6805125
NO1,2021-12-13,1.7156375
NO2,2021-12-13,1.7156375
NO3,2021-12-13,0.561275
NO4,2021-12-13,0.44902
NO5,2021-12-13,1.7156375
NO1,2021-12-14,2.6021875
NO2,2021-12-14,2.6021875
NO3,2021-12-14,0.450975
NO4,2021-12-14,0.36078
NO5,2021-12-14,2.6021875
NO1,2021-12-15,1.63585
NO2,2021-12-15,1.63585
NO3,2021-12-15,0.2889875
NO4,2021-12-15,0.23119
NO5,2021-12-15,1.63585
NO1,2021-12-16,1.951825
NO2,2021-12-16,1.951825
NO3,2021-12-16,0.262925
NO4,2021-12-16,0.21034
NO5,2021-12-16,1.951825
NO1,2021-12-17,2.2740875
NO2,2021-12-17,2.2740875
NO3,2021-12-17,0.2996
NO4,2021-12-17,0.23968
NO5,2021-12-17,2.2740875
NO1,2021-12-18,1.987575
NO2,2021-12-18,1.987575
NO3,2021-12-18,0.2711125
NO4,2021-12-18,0.21689
NO5,2021-12-18,1.987575
NO1,2021-12-19,1.877425
NO2,2021-12-19,1.877425
NO3,2021-12-19,0.2739875
NO4,2021-12-19,0.21919
NO5,2021-12-19,1.877425
NO1,2021-12-20,3.906775
NO2,2021-12-20,3.906775
NO3,2021-12-20,0.73365
NO4,2021-12-20,0.58692
NO5,2021-12-20,3.906775
NO1,2021-12-21,4.94265
NO2,2021-12-21,4.94265
NO3,2021-12-21,0.7983625
NO4,2021-12-21,0.63869
NO5,2021-12-21,4.9396375
NO1,2021-12-22,3.2717375
NO2,2021-12-22,3.2717375
NO3,2021-12-22,0.7859125
NO4,2021-12-22,0.62873
NO5,2021-12-22,3.2717375
NO1,2021-12-23,3.0757625
NO2,2021-12-23,3.0757625
NO3,2021-12-23,0.4911875
NO4,2021-12-23,0.39295
NO5,2021-12-23,3.0757625
NO1,2021-12-24,2.5048625
NO2,2021-12-24,2.5048625
NO3,2021-12-24,0.38965
NO4,2021-12-24,0.31172
NO5,2021-12-24,2.5048625
NO1,2021-12-25,2.519775
NO2,2021-12-25,2.519775
NO3,2021-12-25,0.39915
NO4,2021-12-25,0.31932
NO5,2021-12-25,2.519775
NO1,2021-12-26,2.3485125
NO2,2021-12-26,2.3485125
NO3,2021-12-26,0.6275125
NO4,2021-12-26,0.50201
NO5,2021-12-26,2.3485125
NO1,2021-12-27,2.2561875
NO2,2021-12-27,2.2561875
NO3,2021-12-27,0.7261625
NO4,2021-12-27,0.58093
NO5,2021-12-27,2.2561875
NO1,2021-12-28,1.8432375
NO2,2021-12-28,1.8432375
NO3,2021-12-28,0.7580625
NO4,2021-12-28,0.60431
NO5,2021-12-28,1.8432375
NO1,2021-12-29,2.0873125
NO2,2021-12-29,2.0873125
NO3,2021-12-29,0.853125
NO4,2021-12-29,0.65594
NO5,2021-12-29,2.0873125
NO1,2021-12-30,1.7391125
NO2,2021-12-30,1.7391125
NO3,2021-12-30,0.68085
NO4,2021-12-30,0.54468
NO5,2021-12-30,1.7391125
NO1,2021-12-31,1.69475
NO2,2021-12-31,1.69475
NO3,2021-12-31,0.47285
NO4,2021-12-31,0.37828
NO5,2021-12-31,1.69475
NO1,2022-01-01,1.5879125
NO2,2022-01-01,1.5879125
NO3,2022-01-01,0.522375
NO4,2022-01-01,0.4179
NO5,2022-01-01,1.5879125
NO1,2022-01-02,1.429275
NO2,2022-01-02,1.429275
NO3,2022-01-02,0.4266125
NO4,2022-01-02,0.34129
NO5,2022-01-02,1.429275
NO1,2022-01-03,1.61545
NO2,2022-01-03,1.61545
NO3,2022-01-03,0.4436
NO4,2022-01-03,0.35488
NO5,2022-01-03,1.61545
NO1,2022-01-04,1.8427625
NO2,2022-01-04,1.8427625
NO3,2022-01-04,0.5517
NO4,2022-01-04,0.44136
NO5,2022-01-04,1.8427625
NO1,2022-01-05,1.669525
NO2,2022-01-05,1.669525
NO3,2022-01-05,0.6450375
NO4,2022-01-05,0.51175
NO5,2022-01-05,1.669525
NO1,2022-01-06,2.3233375
NO2,2022-01-06,2.3233375
NO3,2022-01-06,0.6590625
NO4,2022-01-06,0.50992
NO5,2022-01-06,1.9490375
NO1,2022-01-07,1.99215
NO2,2022-01-07,1.99215
NO3,2022-01-07,0.628175
NO4,2022-01-07,0.50254
NO5,2022-01-07,1.891125
NO1,2022-01-08,1.8222
NO2,2022-01-08,1.8222
NO3,2022-01-08,0.5684875
NO4,2022-01-08,0.45314
NO5,2022-01-08,1.8222
NO1,2022-01-09,1.784175
NO2,2022-01-09,1.784175
NO3,2022-01-09,0.5337
NO4,2022-01-09,0.42696
NO5,2022-01-09,1.784175
NO1,2022-01-10,2.4246125
NO2,2022-01-10,2.4246125
NO3,2022-01-10,0.5990625
NO4,2022-01-10,0.47925
NO5,2022-01-10,2.048525
NO1,2022-01-11,1.8942
NO2,2022-01-11,1.8942
NO3,2022-01-11,0.3803625
NO4,2022-01-11,0.27788
NO5,2022-01-11,1.89225
NO1,2022-01-12,1.732
NO2,2022-01-12,1.732
NO3,2022-01-12,0.251925
NO4,2022-01-12,0.20154
NO5,2022-01-12,1.732
NO1,2022-01-13,1.58005
NO2,2022-01-13,1.58005
NO3,2022-01-13,0.219825
NO4,2022-01-13,0.17586
NO5,2022-01-13,1.58005
NO1,2022-01-14,1.6114875
NO2,2022-01-14,1.6114875
NO3,2022-01-14,0.2264
NO4,2022-01-14,0.18112
NO5,2022-01-14,1.6114875
NO1,2022-01-15,1.9392625
NO2,2022-01-15,1.9392625
NO3,2022-01-15,0.2411875
NO4,2022-01-15,0.19295
NO5,2022-01-15,1.8333375
NO1,2022-01-16,1.5965
NO2,2022-01-16,1.5965
NO3,2022-01-16,0.2179875
NO4,2022-01-16,0.17439
NO5,2022-01-16,1.5965
NO1,2022-01-17,1.65405
NO2,2022-01-17,1.65405
NO3,2022-01-17,0.2150125
NO4,2022-01-17,0.17201
NO5,2022-01-17,1.65405
NO1,2022-01-18,2.0118375
NO2,2022-01-18,2.0118375
NO3,2022-01-18,0.2225375
NO4,2022-01-18,0.17803
NO5,2022-01-18,1.86275
NO1,2022-01-19,1.6918125
NO2,2022-01-19,1.6918125
NO3,2022-01-19,0.1899875
NO4,2022-01-19,0.15199
NO5,2022-01-19,1.6918125
NO1,2022-01-20,1.6199375
NO2,2022-01-20,1.6199375
NO3,2022-01-20,0.16925
NO4,2022-01-20,0.1354
NO5,2022-01-20,1.6199375
NO1,2022-01-21,1.7175625
NO2,2022-01-21,1.71635
NO3,2022-01-21,0.22435
NO4,2022-01-21,0.17948
NO5,2022-01-21,1.7175625
NO1,2022-01-22,1.7405125
NO2,2022-01-22,1.7405125
NO3,2022-01-22,0.182275
NO4,2022-01-22,0.14582
NO5,2022-01-22,1.7405125
NO1,2022-01-23,1.7179875
NO2,2022-01-23,1.7179875
NO3,2022-01-23,0.1531625
NO4,2022-01-23,0.12253
NO5,2022-01-23,1.7179875
NO1,2022-01-24,1.6934625
NO2,2022-01-24,1.6934625
NO3,2022-01-24,0.157375
NO4,2022-01-24,0.1259
NO5,2022-01-24,1.6934625
NO1,2022-01-25,1.9624875
NO2,2022-01-25,1.9624875
NO3,2022-01-25,0.180825
NO4,2022-01-25,0.14466
NO5,2022-01-25,1.9624875
NO1,2022-01-26,1.6577375
NO2,2022-01-26,1.6577375
NO3,2022-01-26,0.1907
NO4,2022-01-26,0.15256
NO5,2022-01-26,1.6577375
NO1,2022-01-27,1.58535
NO2,2022-01-27,1.58535
NO3,2022-01-27,0.341925
NO4,2022-01-27,0.27354
NO5,2022-01-27,1.58535
NO1,2022-01-28,1.7005375
NO2,2022-01-28,1.7005375
NO3,2022-01-28,0.192475
NO4,2022-01-28,0.15398
NO5,2022-01-28,1.7005375
NO1,2022-01-29,1.350075
NO2,2022-01-29,1.350075
NO3,2022-01-29,0.1887375
NO4,2022-01-29,0.15099
NO5,2022-01-29,1.350075
NO1,2022-01-30,1.509125
NO2,2022-01-30,1.509125
NO3,2022-01-30,0.1569875
NO4,2022-01-30,0.12559
NO5,2022-01-30,1.509125
NO1,2022-01-31,2.0372125
NO2,2022-01-31,2.0372125
NO3,2022-01-31,0.343125
NO4,2022-01-31,0.2741
NO5,2022-01-31,1.7865875
NO1,2022-02-01,1.8012875
NO2,2022-02-01,1.8012875
NO3,2022-02-01,0.2480875
NO4,2022-02-01,0.18907
NO5,2022-02-01,1.7033375
NO1,2022-02-02,1.6846
NO2,2022-02-02,1.684525
NO3,2022-02-02,0.8997125
NO4,2022-02-02,0.25871
NO5,2022-02-02,1.6846
NO1,2022-02-03,1.83285
NO2,2022-02-03,1.83285
NO3,2022-02-03,0.3106125
NO4,2022-02-03,0.20747
NO5,2022-02-03,1.83285
NO1,2022-02-04,1.5378625
NO2,2022-02-04,1.5378625
NO3,2022-02-04,0.1732375
NO4,2022-02-04,0.13859
NO5,2022-02-04,1.5378625
NO1,2022-02-05,1.4518375
NO2,2022-02-05,1.4518375
NO3,2022-02-05,0.1614875
NO4,2022-02-05,0.12919
NO5,2022-02-05,1.4518375
NO1,2022-02-06,1.4020625
NO2,2022-02-06,1.4020625
NO3,2022-02-06,0.1591125
NO4,2022-02-06,0.12729
NO5,2022-02-06,1.4020625
NO1,2022-02-07,1.5311625
NO2,2022-02-07,1.5311625
NO3,2022-02-07,0.1987875
NO4,2022-02-07,0.15903
NO5,2022-02-07,1.5311625
NO1,2022-02-08,1.548975
NO2,2022-02-08,1.548975
NO3,2022-02-08,0.1762375
NO4,2022-02-08,0.14099
NO5,2022-02-08,1.548975
NO1,2022-02-09,1.51955
NO2,2022-02-09,1.51955
NO3,2022-02-09,0.1586
NO4,2022-02-09,0.12688
NO5,2022-02-09,1.51955
NO1,2022-02-10,1.5610375
NO2,2022-02-10,1.5610375
NO3,2022-02-10,0.15575
NO4,2022-02-10,0.1246
NO5,2022-02-10,1.5610375
NO1,2022-02-11,1.6126125
NO2,2022-02-11,1.6126125
NO3,2022-02-11,0.1538375
NO4,2022-02-11,0.12307
NO5,2022-02-11,1.6126125
NO1,2022-02-12,1.4107125
NO2,2022-02-12,1.4107125
NO3,2022-02-12,0.159175
NO4,2022-02-12,0.12734
NO5,2022-02-12,1.4107125
NO1,2022-02-13,1.2933375
NO2,2022-02-13,1.2933375
NO3,2022-02-13,0.150275
NO4,2022-02-13,0.12022
NO5,2022-02-13,1.2933375
NO1,2022-02-14,1.3666875
NO2,2022-02-14,1.3666875
NO3,2022-02-14,0.1930375
NO4,2022-02-14,0.15443
NO5,2022-02-14,1.3666875
NO1,2022-02-15,1.4239
NO2,2022-02-15,1.4239
NO3,2022-02-15,0.1701125
NO4,2022-02-15,0.13609
NO5,2022-02-15,1.4239
NO1,2022-02-16,1.3866875
NO2,2022-02-16,1.3866875
NO3,2022-02-16,0.1884
NO4,2022-02-16,0.15072
NO5,2022-02-16,1.3866875
NO1,2022-02-17,1.288375
NO2,2022-02-17,1.288375
NO3,2022-02-17,0.1982125
NO4,2022-02-17,0.15479
NO5,2022-02-17,1.288375
NO1,2022-02-18,1.3901875
NO2,2022-02-18,1.3901875
NO3,2022-02-18,0.1808
NO4,2022-02-18,0.14077
NO5,2022-02-18,1.3830875
NO1,2022-02-19,1.2896125
NO2,2022-02-19,1.2896125
NO3,2022-02-19,0.1648125
NO4,2022-02-19,0.12876
NO5,2022-02-19,1.2896125
NO1,2022-02-20,1.2698
NO2,2022-02-20,1.2698
NO3,2022-02-20,0.1693125
NO4,2022-02-20,0.13545
NO5,2022-02-20,1.2698
NO1,2022-02-21,1.350425
NO2,2022-02-21,1.350425
NO3,2022-02-21,0.1953
NO4,2022-02-21,0.15624
NO5,2022-02-21,1.350425
NO1,2022-02-22,1.543625
NO2,2022-02-22,1.543625
NO3,2022-02-22,0.7073875
NO4,2022-02-22,0.56591
NO5,2022-02-22,1.543625
NO1,2022-02-23,1.385875
NO2,2022-02-23,1.385875
NO3,2022-02-23,0.15755
NO4,2022-02-23,0.12604
NO5,2022-02-23,1.385875
NO1,2022-02-24,1.4568
NO2,2022-02-24,1.4568
NO3,2022-02-24,0.1667625
NO4,2022-02-24,0.13341
NO5,2022-02-24,1.4568
NO1,2022-02-25,1.5778
NO2,2022-02-25,1.5778
NO3,2022-02-25,0.1829
NO4,2022-02-25,0.14629
NO5,2022-02-25,1.5778
NO1,2022-02-26,1.7598625
NO2,2022-02-26,1.7598625
NO3,2022-02-26,0.179475
NO4,2022-02-26,0.14358
NO5,2022-02-26,1.7598625
NO1,2022-02-27,1.724575
NO2,2022-02-27,1.724575
NO3,2022-02-27,0.175925
NO4,2022-02-27,0.14026
NO5,2022-02-27,1.724575
NO1,2022-02-28,1.786325
NO2,2022-02-28,1.786325
NO3,2022-02-28,0.1890125
NO4,2022-02-28,0.14346
NO5,2022-02-28,1.786325
NO1,2022-03-01,1.84165
NO2,2022-03-01,1.84165
NO3,2022-03-01,0.1704125
NO4,2022-03-01,0.13633
NO5,2022-03-01,1.84165
NO1,2022-03-02,1.863925
NO2,2022-03-02,1.863925
NO3,2022-03-02,0.163875
NO4,2022-03-02,0.13096
NO5,2022-03-02,1.863925
NO1,2022-03-03,1.985675
NO2,2022-03-03,1.985675
NO3,2022-03-03,0.2272625
NO4,2022-03-03,0.15333
NO5,2022-03-03,1.985675
NO1,2022-03-04,2.5019625
NO2,2022-03-04,2.5019625
NO3,2022-03-04,0.2106
NO4,2022-03-04,0.16496
NO5,2022-03-04,2.5019625
NO1,2022-03-05,2.28405
NO2,2022-03-05,2.28405
NO3,2022-03-05,0.182825
NO4,2022-03-05,0.14626
NO5,2022-03-05,2.28405
NO1,2022-03-06,2.3389875
NO2,2022-03-06,2.3389875
NO3,2022-03-06,0.1715625
NO4,2022-03-06,0.13725
NO5,2022-03-06,2.3389875
NO1,2022-03-07,2.9187375
NO2,2022-03-07,2.9187375
NO3,2022-03-07,0.1835375
NO4,2022-03-07,0.14683
NO5,2022-03-07,2.9187375
NO1,2022-03-08,3.222475
NO2,2022-03-08,3.222475
NO3,2022-03-08,0.2063375
NO4,2022-03-08,0.15836
NO5,2022-03-08,3.222475
NO1,2022-03-09,2.7651625
NO2,2022-03-09,2.7651625
NO3,2022-03-09,0.1862125
NO4,2022-03-09,0.14897
NO5,2022-03-09,2.7651625
NO1,2022-03-10,2.6113625
NO2,2022-03-10,2.6113625
NO3,2022-03-10,0.1740375
NO4,2022-03-10,0.13923
NO5,2022-03-10,2.6113625
NO1,2022-03-11,2.3736125
NO2,2022-03-11,2.3736125
NO3,2022-03-11,0.18205
NO4,2022-03-11,0.14564
NO5,2022-03-11,2.3736125
NO1,2022-03-12,2.2141875
NO2,2022-03-12,2.2141875
NO3,2022-03-12,0.1726375
NO4,2022-03-12,0.13811
NO5,2022-03-12,2.2141875
NO1,2022-03-13,2.0326
NO2,2022-03-13,2.0326
NO3,2022-03-13,0.1915625
NO4,2022-03-13,0.15185
NO5,2022-03-13,2.0369375
NO1,2022-03-14,2.460075
NO2,2022-03-14,2.460075
NO3,2022-03-14,0.2180125
NO4,2022-03-14,0.16136
NO5,2022-03-14,2.460075
NO1,2022-03-15,2.6558125
NO2,2022-03-15,2.6558125
NO3,2022-03-15,0.20485
NO4,2022-03-15,0.1618
NO5,2022-03-15,2.6558125
NO1,2022-03-16,2.4016625
NO2,2022-03-16,2.4016625
NO3,2022-03-16,0.1776625
NO4,2022-03-16,0.14107
NO5,2022-03-16,2.4016625
NO1,2022-03-17,2.15085
NO2,2022-03-17,2.15085
NO3,2022-03-17,0.1640875
